,Sale,weight,ppi,cpu_core,internal_mem,ram,RearCam,battery,pred
212,0,0,0,0,3,1,1,0,3
213,0,0,0,0,3,1,1,1,3
214,0,0,0,0,3,1,1,2,3
215,0,0,0,0,3,1,1,3,3
216,0,0,0,0,3,1,2,0,0
217,0,0,0,0,3,1,2,1,0
218,0,0,0,0,3,1,2,2,3
219,0,0,0,0,3,1,2,3,3
220,0,0,0,0,3,1,3,0,2
221,0,0,0,0,3,1,3,1,0
222,0,0,0,0,3,1,3,2,0
223,0,0,0,0,3,1,3,3,0
224,0,0,0,0,3,2,0,0,3
225,0,0,0,0,3,2,0,1,3
226,0,0,0,0,3,2,0,2,3
227,0,0,0,0,3,2,0,3,3
228,0,0,0,0,3,2,1,0,0
229,0,0,0,0,3,2,1,1,3
230,0,0,0,0,3,2,1,2,3
231,0,0,0,0,3,2,1,3,3
232,0,0,0,0,3,2,2,0,0
233,0,0,0,0,3,2,2,1,0
234,0,0,0,0,3,2,2,2,0
235,0,0,0,0,3,2,2,3,3
236,0,0,0,0,3,2,3,0,2
237,0,0,0,0,3,2,3,1,0
238,0,0,0,0,3,2,3,2,0
239,0,0,0,0,3,2,3,3,0
240,0,0,0,0,3,3,0,0,3
241,0,0,0,0,3,3,0,1,3
242,0,0,0,0,3,3,0,2,3
243,0,0,0,0,3,3,0,3,3
244,0,0,0,0,3,3,1,0,0
245,0,0,0,0,3,3,1,1,0
246,0,0,0,0,3,3,1,2,3
247,0,0,0,0,3,3,1,3,3
248,0,0,0,0,3,3,2,0,0
249,0,0,0,0,3,3,2,1,0
250,0,0,0,0,3,3,2,2,0
251,0,0,0,0,3,3,2,3,0
252,0,0,0,0,3,3,3,0,0
253,0,0,0,0,3,3,3,1,0
254,0,0,0,0,3,3,3,2,0
255,0,0,0,0,3,3,3,3,0
256,0,0,0,1,0,0,0,0,1
257,0,0,0,1,0,0,0,1,1
258,0,0,0,1,0,0,0,2,1
259,0,0,0,1,0,0,0,3,1
260,0,0,0,1,0,0,1,0,1
261,0,0,0,1,0,0,1,1,1
262,0,0,0,1,0,0,1,2,1
263,0,0,0,1,0,0,1,3,1
264,0,0,0,1,0,0,2,0,1
265,0,0,0,1,0,0,2,1,1
266,0,0,0,1,0,0,2,2,1
267,0,0,0,1,0,0,2,3,1
268,0,0,0,1,0,0,3,0,2
269,0,0,0,1,0,0,3,1,1
270,0,0,0,1,0,0,3,2,1
271,0,0,0,1,0,0,3,3,1
272,0,0,0,1,0,1,0,0,3
273,0,0,0,1,0,1,0,1,3
274,0,0,0,1,0,1,0,2,3
275,0,0,0,1,0,1,0,3,3
276,0,0,0,1,0,1,1,0,0
277,0,0,0,1,0,1,1,1,0
278,0,0,0,1,0,1,1,2,3
279,0,0,0,1,0,1,1,3,3
280,0,0,0,1,0,1,2,0,0
281,0,0,0,1,0,1,2,1,0
282,0,0,0,1,0,1,2,2,0
283,0,0,0,1,0,1,2,3,0
284,0,0,0,1,0,1,3,0,2
285,0,0,0,1,0,1,3,1,0
286,0,0,0,1,0,1,3,2,0
287,0,0,0,1,0,1,3,3,0
288,0,0,0,1,0,2,0,0,3
289,0,0,0,1,0,2,0,1,3
290,0,0,0,1,0,2,0,2,3
291,0,0,0,1,0,2,0,3,3
292,0,0,0,1,0,2,1,0,0
293,0,0,0,1,0,2,1,1,0
294,0,0,0,1,0,2,1,2,0
295,0,0,0,1,0,2,1,3,3
296,0,0,0,1,0,2,2,0,0
297,0,0,0,1,0,2,2,1,0
298,0,0,0,1,0,2,2,2,0
299,0,0,0,1,0,2,2,3,0
300,0,0,0,1,0,2,3,0,2
301,0,0,0,1,0,2,3,1,0
302,0,0,0,1,0,2,3,2,0
303,0,0,0,1,0,2,3,3,0
304,0,0,0,1,0,3,0,0,0
305,0,0,0,1,0,3,0,1,0
306,0,0,0,1,0,3,0,2,3
307,0,0,0,1,0,3,0,3,3
308,0,0,0,1,0,3,1,0,0
309,0,0,0,1,0,3,1,1,0
310,0,0,0,1,0,3,1,2,0
311,0,0,0,1,0,3,1,3,0
312,0,0,0,1,0,3,2,0,0
313,0,0,0,1,0,3,2,1,0
314,0,0,0,1,0,3,2,2,0
315,0,0,0,1,0,3,2,3,0
316,0,0,0,1,0,3,3,0,0
317,0,0,0,1,0,3,3,1,0
318,0,0,0,1,0,3,3,2,0
319,0,0,0,1,0,3,3,3,0
320,0,0,0,1,1,0,0,0,3
321,0,0,0,1,1,0,0,1,1
322,0,0,0,1,1,0,0,2,1
323,0,0,0,1,1,0,0,3,1
324,0,0,0,1,1,0,1,0,1
325,0,0,0,1,1,0,1,1,1
326,0,0,0,1,1,0,1,2,1
327,0,0,0,1,1,0,1,3,1
328,0,0,0,1,1,0,2,0,1
329,0,0,0,1,1,0,2,1,1
330,0,0,0,1,1,0,2,2,1
331,0,0,0,1,1,0,2,3,1
332,0,0,0,1,1,0,3,0,1
333,0,0,0,1,1,0,3,1,1
334,0,0,0,1,1,0,3,2,1
335,0,0,0,1,1,0,3,3,1
336,0,0,0,1,1,1,0,0,3
337,0,0,0,1,1,1,0,1,3
338,0,0,0,1,1,1,0,2,3
339,0,0,0,1,1,1,0,3,3
340,0,0,0,1,1,1,1,0,3
341,0,0,0,1,1,1,1,1,3
342,0,0,0,1,1,1,1,2,3
343,0,0,0,1,1,1,1,3,3
344,0,0,0,1,1,1,2,0,0
345,0,0,0,1,1,1,2,1,0
346,0,0,0,1,1,1,2,2,0
347,0,0,0,1,1,1,2,3,3
348,0,0,0,1,1,1,3,0,2
349,0,0,0,1,1,1,3,1,0
350,0,0,0,1,1,1,3,2,0
351,0,0,0,1,1,1,3,3,0
352,0,0,0,1,1,2,0,0,3
353,0,0,0,1,1,2,0,1,3
354,0,0,0,1,1,2,0,2,3
355,0,0,0,1,1,2,0,3,3
356,0,0,0,1,1,2,1,0,0
357,0,0,0,1,1,2,1,1,3
358,0,0,0,1,1,2,1,2,3
359,0,0,0,1,1,2,1,3,3
360,0,0,0,1,1,2,2,0,0
361,0,0,0,1,1,2,2,1,0
362,0,0,0,1,1,2,2,2,0
363,0,0,0,1,1,2,2,3,0
364,0,0,0,1,1,2,3,0,0
365,0,0,0,1,1,2,3,1,0
366,0,0,0,1,1,2,3,2,0
367,0,0,0,1,1,2,3,3,0
368,0,0,0,1,1,3,0,0,3
369,0,0,0,1,1,3,0,1,3
370,0,0,0,1,1,3,0,2,3
371,0,0,0,1,1,3,0,3,3
372,0,0,0,1,1,3,1,0,0
373,0,0,0,1,1,3,1,1,0
374,0,0,0,1,1,3,1,2,0
375,0,0,0,1,1,3,1,3,3
376,0,0,0,1,1,3,2,0,0
377,0,0,0,1,1,3,2,1,0
378,0,0,0,1,1,3,2,2,0
379,0,0,0,1,1,3,2,3,0
380,0,0,0,1,1,3,3,0,0
381,0,0,0,1,1,3,3,1,0
382,0,0,0,1,1,3,3,2,0
383,0,0,0,1,1,3,3,3,0
384,0,0,0,1,2,0,0,0,3
385,0,0,0,1,2,0,0,1,1
386,0,0,0,1,2,0,0,2,1
